Gene	TCGA-3C-AAAU-01A-11R-A41G-13	TCGA-3C-AALI-01A-11R-A41G-13	TCGA-3C-AALJ-01A-31R-A41G-13	TCGA-3C-AALK-01A-11R-A41G-13	TCGA-4H-AAAK-01A-12R-A41G-13	TCGA-5L-AAT0-01A-12R-A41G-13	TCGA-5L-AAT1-01A-12R-A41G-13	TCGA-5T-A9QA-01A-11R-A41G-13	TCGA-A1-A0SB-01A-11R-A143-13	TCGA-A1-A0SD-01A-11R-A114-13	TCGA-A1-A0SF-01A-11R-A143-13	TCGA-A1-A0SG-01A-11R-A143-13	TCGA-A1-A0SI-01A-11R-A143-13	TCGA-A1-A0SN-01A-11R-A143-13	TCGA-A1-A0SQ-01A-21R-A143-13	TCGA-A2-A04N-01A-11R-A114-13	TCGA-A2-A04U-01A-11R-A114-13	TCGA-A2-A04W-01A-31R-A114-13	TCGA-A2-A0CK-01A-11R-A22I-13	TCGA-A2-A0CL-01A-11R-A114-13	TCGA-A2-A0CO-01A-13R-A22I-13	TCGA-A2-A0CR-01A-11R-A22I-13	TCGA-A2-A0CS-01A-11R-A114-13	TCGA-A2-A0CV-01A-31R-A114-13	TCGA-A2-A0CW-01A-21R-A114-13	TCGA-A2-A0D3-01A-11R-A114-13	TCGA-A2-A0EP-01A-52R-A22V-13	TCGA-A2-A0ES-01A-11R-A114-13	TCGA-A2-A0EW-01A-21R-A114-13	TCGA-A2-A0T3-01A-21R-A114-13	TCGA-A2-A1FV-01A-11R-A13P-13	TCGA-A2-A1FW-01A-11R-A13P-13	TCGA-A2-A1FX-01A-11R-A13P-13	TCGA-A2-A1FZ-01A-51R-A14C-13	TCGA-A2-A1G0-01A-11R-A13P-13	TCGA-A2-A1G1-01A-21R-A13P-13	TCGA-A2-A1G4-01A-11R-A13P-13	TCGA-A2-A1G6-01A-11R-A13P-13	TCGA-A2-A259-01A-11R-A16E-13	TCGA-A2-A25A-01A-12R-A16E-13	TCGA-A2-A25B-01A-11R-A168-13	TCGA-A2-A25C-01A-11R-A168-13	TCGA-A2-A25D-01A-12R-A16E-13	TCGA-A2-A25E-01A-11R-A168-13	TCGA-A2-A25F-01A-11R-A168-13	TCGA-A2-A3KC-01A-11R-A214-13	TCGA-A2-A3KD-01A-12R-A214-13	TCGA-A2-A3XS-01A-11R-A22V-13	TCGA-A2-A3XT-01A-11R-A22V-13
hsa-let-7a-5p|MIMAT0000062	35742.781934	30953.45365	33090.473678	36197.137602	43652.948224	40767.069474	44654.181757	54029.441338	49791.556029	49781.400357	20769.341433	34017.024503	21789.730764	14564.501097	57839.342989	10053.794699	28881.733566	15400.478215	46371.033524	24763.610751	55629.876206	20983.510107	39124.892789	42102.704229	24563.195647	62710.604659	32757.966817	25508.52142	31202.534665	17226.253954	180342.000703	90365.378497	40312.056097	27378.640276	109264.580266	43882.064739	69274.571358	32776.950708	29518.001411	47635.726857	21878.325145	22462.631376	30957.922115	17176.08481	19684.300191	54128.293579	56071.143076	16294.211203	20698.839828
hsa-let-7a-3p|MIMAT0004481	67.303561	23.124365	21.05118	26.87875	27.407055	31.709287	22.131458	73.183782	131.296697	34.335026	21.354612	37.538711	34.654321	22.03071	39.522936	7.91875	28.943757	26.753054	62.876784	23.514657	30.858063	33.17004	42.825431	32.618788	11.840781	43.608003	37.944425	46.885354	36.608102	41.519256	84.574895	80.910674	28.544847	27.922117	39.970949	41.30833	140.202102	33.010471	30.39454	22.820888	13.082517	25.0906	43.066743	20.388052	3.952671	11.006239	30.244045	30.587367	65.502653
hsa-let-7a-2-3p|MIMAT0010195	7.499004	1.10116	1.863907	4.901419	2.919095	2.186847	1.656901	2.75127	17.980122	13.149583	5.242749	6.951614	8.25103	4.130758	4.322821	3.016666	9.773217	6.278778	6.257879	6.548385	3.534404	2.822982	8.777883	19.394957	2.791041	7.267999	6.161079	25.690605	26.938037	12.427532	3.491623	4.789105	1.282914	17.847125	3.426082	153.376288	7.637468	17.931613	3.921876	0.883389	9.967631	27.27239	NA	13.592035	20.751521	2.684449	1.701228	7.750646	2.33938
hsa-let-7b-5p|MIMAT0000063	24695.437347	23346.167618	10946.391759	25986.691221	22174.73829	24408.085378	24995.529327	35025.318562	92858.128478	50969.489559	20442.628666	40085.782906	28774.639633	11954.41296	144554.511701	9931.9968	16273.532779	13090.70678	46194.620935	14932.99663	64843.521776	15460.627441	44607.878599	39308.948874	9107.929831	55889.394802	25971.489659	35528.177939	32853.352788	15674.789568	7645.10511	54841.306689	25094.767285	35175.242935	64756.074444	11842.485237	36676.762667	38133.612524	30502.392345	13506.724953	24718.476748	28892.370059	12330.883127	14918.957492	45116.771774	17527.305544	26687.726606	12644.072055	25501.922466
hsa-let-7b-3p|MIMAT0004482	53.992828	28.315547	10.74487	30.357175	29.353116	23.781964	30.297611	64.929973	194.018054	52.841844	41.430503	68.820971	76.32202	34.698366	151.298731	5.656249	24.433041	16.652412	57.214895	25.300578	64.163014	27.524078	56.12526	48.266994	18.099481	77.270322	39.802526	74.823884	71.834763	51.96968	15.518329	108.385017	32.393588	62.177079	140.183823	89.501376	367.144044	29.750176	96.085968	23.851506	96.561418	145.089116	20.860453	64.562166	135.378971	15.972472	52.549033	26.15843	77.19956
hsa-let-7c-5p|MIMAT0000064	337.361424	796.768003	631.535252	2904.802268	3288.684163	2242.61184	2469.847071	582.718997	10418.853201	2704.187464	3815.314581	2016.663016	2864.757376	1329.55323	828.128968	921.214478	910.036793	3794.566016	3072.916657	1916.890877	3230.444589	2716.697066	2085.944526	4863.946581	1469.948557	1726.341411	3591.811128	5873.193107	4873.712415	2011.000626	2473.233789	1948.157682	1504.2171	3392.105069	4082.175701	950.091513	1306.007194	7774.576807	3479.684681	4606.432487	1151.26128	2862.510065	1675.228987	1234.326685	3635.468896	3874.465487	3486.004659	3441.978936	950.791128
hsa-let-7d-5p|MIMAT0000065	177.913861	236.592118	276.625599	144.038474	155.847206	126.427105	188.88667	255.317861	404.761803	213.071951	135.160624	189.083879	139.029842	128.604261	76.575685	19.60833	710.061753	207.745664	155.850988	269.6744	106.983669	88.641645	204.019309	195.933139	135.154073	217.274961	170.847693	198.781048	165.081813	256.459071	114.44768	311.291852	73.126122	241.799752	137.328754	405.816064	313.136225	156.494077	78.437524	130.152663	548.842635	398.176897	132.228358	538.584389	180.834686	133.685568	106.988322	255.63292	164.425037
hsa-let-7d-3p|MIMAT0004484	228.250923	276.70581	343.726221	190.206679	194.444121	73.942773	125.569396	231.381811	991.415535	315.590001	158.305441	491.479061	183.172849	167.708766	516.26832	98.041654	689.763534	224.944058	110.406868	189.903165	68.648986	98.380935	413.890546	375.336489	429.482092	482.365726	182.094108	374.440548	212.050697	319.444061	39.959698	232.145585	109.368451	434.37598	167.59247	351.885746	645.366128	305.652494	666.718959	147.231519	1098.308244	935.988427	383.899634	1688.810356	1610.713319	97.177058	172.013029	277.085603	312.140215
hsa-let-7e-5p|MIMAT0000066	1447.213954	556.243168	2683.147691	1306.149114	1694.858631	827.448323	1422.094132	2238.433316	632.23125	1484.928875	614.424593	1005.898443	536.316904	265.745416	832.451788	351.441626	946.498408	945.092629	588.091643	610.785727	657.127134	391.547652	1185.280387	1073.995725	1172.998653	1037.028933	984.696858	653.183597	661.017969	941.950435	1350.870597	3604.179931	822.348113	1031.678934	2026.527006	890.423929	2974.794169	620.270793	1419.719193	1111.156263	1685.152468	1493.436082	1550.066265	1892.690883	966.427992	2388.354428	1563.995366	1027.79105	580.83479
hsa-let-7e-3p|MIMAT0004485	22.497013	4.247331	11.073796	15.020478	16.379364	12.02766	10.414803	13.75635	27.179253	13.393094	16.62335	20.159678	12.789095	5.507678	14.203555	2.2625	16.163396	18.290354	9.982806	8.631963	6.389115	11.997674	16.491781	14.987012	7.189046	10.710737	13.300107	21.515881	14.505096	17.511523	12.414664	40.07725	7.697487	20.14998	21.127502	9.562115	48.006947	15.486394	40.199232	11.63129	52.330059	67.635529	27.589632	73.90669	49.408384	8.187568	10.585415	18.684592	12.0311
