miRNA	Tumor_1	Tumor_2	Tumor_3	Tumor_4	Tumor_5	Tumor_6	Tumor_7	Tumor_8	Tumor_9	Tumor_10	Tumor_11	Tumor_12	Tumor_13	Tumor_14	Tumor_15	Tumor_16	Tumor_17	Tumor_18	Tumor_19	Tumor_20	Tumor_21	Tumor_22	Tumor_23	Tumor_24	Tumor_25	Tumor_26	Tumor_27	Tumor_28	Tumor_29	Tumor_30	Tumor_31	Tumor_32	Tumor_33	Tumor_34	Tumor_35	Tumor_36	Tumor_37	Tumor_38	Tumor_39	Tumor_40	Tumor_41	Tumor_42	Tumor_43	Tumor_44	Tumor_45	Tumor_46	Tumor_47	Tumor_48	Tumor_49	Tumor_50	Tumor_51	Tumor_52	Tumor_53	Tumor_54	Tumor_55	Tumor_56	Tumor_57	Tumor_58	Tumor_59	Tumor_60	Tumor_61	Tumor_62	Tumor_63	Tumor_64	Tumor_65	Tumor_66	Tumor_67	Tumor_68	Tumor_69	Tumor_70	Tumor_71	Tumor_72	Tumor_73	Tumor_74	Tumor_75	Tumor_76	Tumor_77	Tumor_78	Tumor_79	Tumor_80	Tumor_81	Tumor_82	Tumor_83	Tumor_84	Tumor_85	Tumor_86	Control_1	Control_2	Control_3	Control_4	Control_5	Control_6	Control_7	Control_8	Control_9	Control_10	Control_11	Control_12	Control_13	Control_14	Control_15	Control_16	Control_17	Control_18	Control_19	Control_20	Control_21	Control_22	Control_23	Control_24	Control_25	Control_26	Control_27	Control_28	Control_29	Control_30	Control_31	Control_32	Control_33	Control_34	Control_35	Control_36	Control_37	Control_38	Control_39	Control_40	Control_41	Control_42	Control_43	Control_44	Control_45	Control_46	Control_47	Control_48	Control_49	Control_50	Control_51	Control_52	Control_53	Control_54	Control_55	Control_56	Control_57	Control_58	Control_59	Control_60	Control_61	Control_62	Control_63	Control_64	Control_65	Control_66	Control_67	Control_68	Control_69	Control_70	Control_71	Control_72	Control_73	Control_74	Control_75	Control_76	Control_77	Control_78	Control_79	Control_80	Control_81	Control_82	Control_83	Control_84	Control_85	Control_86
hsa-let-7a-2-3p	6.202293	6.551197	6.67875	5.391485	5.369854	1.025934	8.801151	12.578738	7.705145	19.153395	6.894812	3.757056	4.287492	50.105045	22.599979	15.839935	13.921045	7.214926	5.613966	8.360733	10.733896	13.134517	10.052139	3.475433	33.301285	5.803283	4.428843	12.903503	10.871609	9.446673	10.238952	3.161243	4.62501	0.909391	5.114613	2.146564	4.976788	7.086619	13.445156	6.448271	17.255136	15.152836	8.843585	14.246121	6.977539	3.515032	9.926266	3.177476	9.209597	4.735887	8.219712	1.994402	6.140239	27.283605	0.248523	8.943481	7.918843	6.978351	24.612258	13.281252	6.034661	5.27284	10.447459	8.350376	16.952844	5.919417	10.769724	14.259386	53.080588	0.809982	3.049393	14.327761	12.140569	11.419033	19.68409	12.981331	23.625128	19.69835	2.111507	11.768151	0.584825	12.809156	15.625641	8.553083	2.555822	7.37298	18.064547	16.922208	14.235761	6.890902	11.505366	14.268209	19.881106	9.410134	32.024941	33.664501	14.283688	4.461231	15.357169	9.096601	5.539397	29.404987	4.666686	7.108774	13.716923	8.679703	7.388063	17.831774	12.092288	7.661183	20.062341	20.364446	15.281726	5.066313	9.561988	20.443365	2.15744	11.341197	5.92846	14.25874	18.16564	9.855596	7.657395	7.599175	5.235988	8.504722	8.414736	4.818392	30.67847	17.359124	5.393459	5.470163	19.745536	7.285725	9.166007	19.69946	35.344974	9.90464	15.32614	7.508381	5.438977	20.003813	34.334983	19.906652	3.723834	17.985539	12.166955	11.481011	16.309568	7.739942	11.949634	10.408213	24.811143	7.470454	2.610137	19.392951	30.787932	19.261841	2.570932	24.300535	23.216775	22.977563	16.462997	21.343579	10.547644	28.187473	2.924359	21.167227	13.6503	13.798263	1.76708	5.358797
hsa-let-7b-3p	40.862163	446.385004	100.827563	54.723574	67.835498	61.427741	82.810831	54.061808	31.783724	39.555924	52.771833	94.677806	75.745667	72.244485	76.455247	64.491164	49.158692	41.846571	44.911727	32.866333	80.649278	100.529573	34.116355	118.550854	35.449755	19.223375	43.796326	49.123862	59.084838	96.23798	54.607741	18.967459	50.566779	28.191121	65.46705	69.456658	97.545051	124.724507	75.78179	43.704947	99.38958	57.905478	12.552184	28.983486	31.193704	65.906835	83.086523	34.316741	25.088214	124.080232	36.040275	45.146022	31.024367	53.075139	19.136236	63.93637	41.482155	25.328828	50.54303	32.853623	125.722107	52.201121	20.89492	57.895935	130.606092	48.670762	49.959554	19.286734	146.270949	17.009619	56.631582	91.622256	24.281139	50.909859	55.115451	51.623435	41.7804	39.16765	18.581262	67.128189	13.30478	79.071909	78.128204	78.199618	28.880799	78.153589	121.164644	56.712263	54.128999	68.717603	83.711457	152.384474	178.929946	108.054295	56.602221	89.772003	109.619002	48.515888	45.218332	100.062615	79.398022	159.321567	96.963338	38.861298	56.637619	45.194317	135.671722	41.607474	145.76702	74.422922	76.905639	74.435562	49.440884	31.073385	56.893834	75.291422	44.766862	65.325291	107.370987	109.317001	67.212868	92.806854	55.242634	73.854488	82.122348	56.22567	43.221146	25.162715	90.729945	65.524582	39.776764	44.308322	67.134823	74.538575	45.83003	80.029057	86.825698	33.25129	48.532778	55.061461	47.591054	79.18176	93.194952	91.471065	25.653077	29.364146	166.281719	72.262826	49.415558	68.748892	69.990713	52.041067	113.109625	34.032069	17.338761	125.357041	70.599913	71.376823	73.528654	74.800082	69.650325	90.517671	102.318412	83.002806	50.854711	63.544015	11.697435	62.325727	58.847958	62.826131	24.739116	59.393337
hsa-let-7b-5p	40131.02161	64053.08548	43614.59915	36940.03024	44695.81204	57525.09048	75264.64461	36194.11294	26497.51304	14317.57911	37986.70415	29340.10071	13202.61251	24042.26536	37832.36394	26462.30888	23034.97924	25747.76215	15400.23085	36005.06833	37937.65288	71551.29256	28628.79975	26201.28313	21096.90137	9822.782238	35337.72871	29830.86224	33561.13295	66054.08929	16204.84729	9878.884874	31439.89521	10197.00137	5009.763795	28596.82373	29179.90492	27797.02976	13115.13881	22960.14324	19097.98432	20448.75122	6271.242434	11902.8788	22794.80001	6279.603157	19675.33021	16765.63445	17551.90481	55113.40791	23557.69353	55076.33485	33982.02267	16301.52818	31380.69179	21983.07399	16413.50753	6772.360248	37285.37342	12090.13357	26285.64264	20134.34143	14672.46219	29482.66922	49413.38835	8989.621289	17061.93549	18540.49497	36209.14391	35463.03222	19669.01891	23058.64503	12456.69086	20615.16238	12756.27455	22817.25696	20132.3333	13047.63703	27792.92197	34789.63932	19116.19123	13826.25266	23488.75638	27768.19516	12480.08375	34559.61558	28440.64629	13754.09563	28607.25918	37768.45805	122585.3113	51420.91388	44765.72047	18066.48357	57375.28799	53478.46474	67289.12543	55306.99683	37135.34188	35581.73523	37868.42529	42839.3242	39868.00542	34397.69846	38310.48212	30057.81281	49786.82077	38582.01725	59661.58307	44746.78148	43158.10662	34200.68319	33964.08914	28125.46758	31893.05871	28885.23069	28171.84003	29992.02034	44388.35097	25732.27113	22648.61689	34144.29823	43497.28545	41183.02069	37877.14276	23547.2161	20652.82289	20754.42101	24840.423	32713.88153	22079.13823	17409.34162	33179.55321	27283.64058	33965.1427	39335.51259	43369.05225	32918.06953	19482.5895	31670.35203	24862.01994	11438.22208	32055.44481	18742.51075	28265.14028	20724.47953	26567.22209	33950.6965	35664.64412	25208.07923	23937.16541	34504.96281	40842.79076	45861.11927	18021.4982	36594.75009	26044.99816	41158.59435	25344.24779	46823.7114	49351.62047	30118.01416	17562.832	19942.25377	29107.25965	14222.61717	22966.28735	18688.98253	23872.25019	30310.3787	7253.862207	42941.68214
hsa-let-7c-5p	1199.961181	1524.169852	1166.84204	594.546028	4366.677276	2929.551744	3268.027458	3984.783474	2604.579892	5391.68068	3235.788531	2122.736498	3214.665125	2878.127052	11598.59746	4402.936272	1224.181901	2662.307697	884.761002	4502.111085	3098.614919	8300.50967	3083.265529	2737.675151	1989.483238	1656.474649	1658.35521	6296.004104	1164.207636	1680.917366	971.84715	2321.933101	796.118444	1090.359819	2229.459965	2223.686316	2739.22426	4957.326738	2152.447291	4602.990708	4090.157389	2642.005068	1056.665695	1757.185206	4281.336024	739.914058	5275.626674	1010.437373	4479.833992	496.320928	880.773719	1310.503828	1130.450347	4550.180732	1217.014848	352.982033	4767.458444	421.80254	2871.723111	2301.850708	1887.843142	1065.641063	2013.623486	3576.187293	1353.805678	826.087528	891.194673	1286.544137	4700.026817	1157.464126	907.84779	1754.019502	1576.873151	1167.596207	1860.63861	2048.333422	1417.856827	1786.136393	1054.486592	940.45763	1251.672783	774.214972	1037.151915	4083.893526	3402.481977	1780.574703	8422.04421	3025.41624	6540.173647	10951.74838	15573.90155	12967.51928	10830.45453	5188.22863	11240.38181	8873.802203	12177.01011	9640.441507	5969.246414	8911.258102	8492.264783	10208.34235	9392.480625	9184.062034	9958.486393	9902.643657	8942.244142	9795.318237	12451.53742	8456.85167	8322.527536	8802.005267	9590.932122	7015.830203	7226.47332	10376.25518	7864.404954	6725.783033	1485.408418	6463.282729	7618.063795	9926.226767	9597.724221	11885.58586	8245.304417	6964.659568	6372.250341	7058.409085	6107.626602	6670.549241	6752.948534	3765.660393	6615.318869	5631.305304	9745.500767	10082.42993	8827.7916	11254.50042	5782.55272	8341.185847	7442.787618	3599.227768	8315.176801	5205.191296	8396.417836	4547.037875	7610.092355	7259.374922	6884.341789	4402.205613	7372.241342	7319.749686	7619.939992	9290.755063	4591.042944	6832.655952	7970.358651	11054.22668	6072.027231	9858.043118	10413.18802	6286.336175	4291.708736	4830.763213	2911.903154	4013.700738	4982.457098	4274.940119	8163.182354	7479.538935	1815.043302	13709.44153
hsa-let-7d-3p	240.794886	325.526715	424.8546	641.72152	239.561225	332.658782	233.230507	207.415354	181.793272	314.781881	297.272492	281.278238	142.439965	873.342601	290.433767	235.33618	527.694613	278.784741	737.113706	133.771742	274.439632	377.364782	381.676716	384.807574	418.951654	407.680645	534.905671	245.845694	260.918642	591.007473	500.85538	352.478614	245.125546	208.25054	225.554449	135.540144	164.731692	239.527746	271.347697	135.41369	435.519627	389.644335	493.814341	317.835849	207.684404	1761.909364	181.981545	85.156356	104.481292	440.911053	450.819571	213.219769	352.578995	289.0357	139.918189	713.765823	282.141577	974.38454	405.662755	1353.98871	205.848995	325.861542	198.999232	258.583283	274.532277	229.541837	280.311986	160.326707	610.825884	42.929041	173.379759	606.667537	438.461323	269.298881	470.449752	490.271698	480.4164	366.022822	143.582474	961.010459	76.319728	674.820844	424.822111	446.796769	274.580584	369.140538	548.985985	532.82085	376.585549	359.188252	2670.831877	382.388005	375.367133	420.535637	501.599944	997.110463	382.669969	174.266838	401.419343	303.59907	286.571467	733.520776	210.000809	265.868144	243.80725	225.672287	218.955354	377.169059	284.498527	456.387621	464.108808	355.675587	272.074682	249.938105	382.001467	239.835595	204.417357	241.340657	262.169645	374.122154	291.861279	244.747278	217.688799	170.743979	188.220018	162.534709	216.870704	199.160208	351.170578	314.664692	203.94019	255.456624	319.595611	289.747694	242.899147	469.093393	349.607901	210.827328	224.783391	208.670429	223.451329	447.58532	699.163162	396.938636	231.291458	216.193519	486.340228	262.037164	250.97261	305.044756	280.987107	231.06234	440.032927	145.258833	114.473112	258.572667	617.351122	331.501689	285.887638	302.617586	751.480579	524.074104	574.61172	553.035829	587.183577	582.323879	128.996705	528.172741	332.157285	403.672567	602.0693	312.298808
hsa-let-7d-5p	346.963541	211.445529	134.436752	327.802297	215.999623	204.160675	128.416796	170.214407	138.933403	295.628484	145.586616	197.37066	161.495478	417.153638	173.106219	200.82775	207.510578	187.010881	274.522927	137.807959	220.770148	269.257603	200.433584	447.751512	220.218176	254.619051	486.188415	179.290784	147.003076	206.645969	174.062177	194.416456	270.100603	279.183039	108.941265	144.893029	203.550641	324.567184	150.341291	112.128266	410.672231	158.563597	214.813517	146.391167	110.819739	1606.369239	232.348156	72.446453	84.950595	103.715918	185.259659	373.678525	219.755926	240.436775	73.314149	358.69064	203.582453	510.194981	204.369645	856.291259	204.507959	409.699705	272.13145	260.253358	153.613523	227.568698	230.352433	126.14074	375.555151	36.854177	159.43968	355.177636	540.255327	245.509226	268.195726	294.344153	309.687025	222.179061	65.456716	318.403087	48.832929	321.337396	270.030609	254.148756	98.654768	270.834136	287.710953	125.315805	100.312456	160.692	99.184191	240.847369	324.329073	250.504251	166.455215	108.207326	227.542476	127.70274	141.627228	180.415927	189.816666	228.289628	161.259881	129.379686	157.965858	168.505965	171.268757	154.812228	259.874233	140.090205	209.317085	133.071123	131.243074	74.305923	134.345945	161.552457	84.140127	120.216682	202.226334	135.797515	244.327854	119.08844	113.76701	110.900469	119.325427	145.525262	90.267171	94.761712	161.877887	139.850977	91.688813	54.701632	154.86142	92.472667	88.095498	120.043585	93.741019	88.434282	146.620073	91.97767	116.031522	167.115189	212.04063	153.778885	120.403959	184.260012	297.752426	182.345451	134.371369	269.076795	118.472085	177.286571	206.516285	132.39305	101.422432	114.963433	332.297335	111.61067	76.099588	107.83362	120.170027	186.605664	143.387395	183.554775	383.388024	252.546728	51.338739	180.761412	176.543872	202.863813	136.570019	187.111345
hsa-let-7e-3p	13.134266	20.557203	21.544352	25.474766	12.602718	25.776569	14.401884	11.508208	14.687934	27.897336	11.137774	12.273048	34.776313	15.148037	23.56168	22.628479	19.57647	14.718449	6.73676	12.973552	19.14695	17.681081	10.96597	20.659516	30.07858	103.008275	17.715367	19.694821	22.215899	12.989175	34.129839	22.128702	9.866688	10.003301	23.01576	24.225501	20.404832	22.677183	40.335466	18.628338	27.608216	20.564563	3.423323	13.754875	7.387982	45.695404	24.999483	9.532428	9.368383	6.630241	34.143419	38.618887	14.865841	26.857298	8.201245	26.640153	12.428914	21.451967	14.503652	21.669411	20.450796	24.255066	16.914935	25.607818	13.493079	11.181121	14.658791	5.027347	46.894506	4.859892	16.553846	32.048938	33.153092	5.709516	20.176193	14.188896	27.116527	18.094996	10.979836	51.879316	4.239984	68.233392	45.412018	19.142615	8.689798	20.398578	35.247896	33.844415	27.312796	28.520677	58.320305	29.677875	42.432807	25.634502	16.01247	6.412285	21.9238	12.82604	10.238113	30.70103	18.83395	47.582616	22.814903	18.245853	17.699255	20.651708	25.522404	18.64231	19.1278	19.700186	25.412298	24.928891	17.678862	12.496905	18.167778	28.919884	12.944635	21.32145	12.515637	29.196465	42.689254	37.369132	22.698706	15.198351	18.18817	18.426901	17.211961	17.132061	35.247604	16.136651	12.809467	18.051539	19.745536	26.901139	17.822789	31.396014	26.124546	16.979382	28.608795	20.022349	24.475399	48.550921	35.219491	32.547374	9.930224	12.846814	40.894487	26.338787	22.1518	22.309244	31.069048	21.857248	17.513749	14.110857	12.491365	20.153456	31.318758	14.401378	10.797914	17.46601	20.80223	35.974974	38.944724	36.046933	22.696269	35.356541	10.07279	38.638592	29.423979	24.954304	7.068319	29.324529
hsa-let-7e-5p	1283.874551	1577.257135	980.91429	748.877291	1135.778831	3119.605839	1442.988741	1033.865173	933.285722	853.15883	1011.946324	1147.404826	3392.834176	1042.301477	1348.305101	971.893167	1982.443824	1476.751054	600.694337	881.62498	1084.413684	2597.09818	918.095468	2339.35201	1494.2609	4090.226547	2179.482258	1294.198743	1562.675777	1659.071934	2019.63319	1417.027247	1152.244239	1013.061582	1549.216389	2267.690865	1446.752347	1837.324282	1951.381092	2324.959895	1321.743404	1108.321667	157.758135	944.665124	784.357506	1439.405259	2132.30904	437.856194	392.836964	454.645125	1619.915479	2544.313811	1284.92584	985.193955	970.231971	1248.281474	594.07059	442.479132	1115.023192	1138.692622	1232.076639	2467.162066	1319.364914	1674.528546	833.630153	696.518067	639.302793	920.370366	1496.633173	514.743493	529.723085	1077.221348	891.397942	320.684532	841.494849	1032.166833	1313.34764	1520.666778	1002.965822	1518.091547	550.467005	1681.8176	1862.869376	1455.653281	1896.335477	1717.167074	1970.3574	836.963223	813.590319	1072.683701	1607.180619	1628.858764	2028.762917	1543.261954	891.85736	949.819855	1243.677394	1738.485982	824.594676	1918.245811	1449.106237	2066.903296	1259.486335	1083.140192	947.79516	846.12143	1507.836721	923.739981	1362.251049	868.997052	1173.646912	1147.782329	1042.753181	906.194513	775.955419	897.264354	748.092016	860.569974	1326.65745	680.345553	2339.128882	1395.387992	1408.960683	1707.439806	1770.039782	763.535148	580.234319	765.588971	476.495395	690.697563	653.619886	390.022639	486.304355	506.918357	952.24613	683.325023	602.401306	716.671419	568.599804	609.117426	744.233436	625.327536	881.532573	565.747043	875.928476	953.600613	1939.615402	1666.772474	1214.210844	1677.746167	640.841799	510.349406	688.144361	541.192915	611.331159	398.125853	1035.642339	1140.589029	550.693636	664.467721	1637.061253	1084.819469	758.714059	746.076637	384.612305	974.178644	513.712318	1021.234762	1083.833769	952.080102	519.268995	2198.297836
hsa-let-7f-1-3p	2.918726	7.906617	3.01621	3.369678	2.739721	2.436591	0.800105	1.605796	2.167072	3.747403	3.447405	3.005644	3.811103	6.991402	3.365954	1.697136	4.350327	4.328955	7.859552	0.288301	3.191159	3.536217	0.913831	7.143945	2.14847	2.176231	1.968375	2.263773	3.308751	4.132919	1.706492	1.580622	1.54167	1.818782	4.091691	1.686586	2.488394	7.08662	3.055717	1.074712	6.211848	1.623518	4.279154	0.982492	1.231329	14.938883	1.102918	1.27099	1.746647	1.894355	0.632286	3.988804	0.969511	1.705226	0.745568	2.854303	3.356331	3.876862	3.516037	7.689146	4.358367	4.218272	1.243745	2.783459	1.729882	0.657713	1.495795	1.645314	4.988777	0	1.74251	3.770463	1.400835	2.378965	5.413125	5.434044	3.025879	2.748607	0.844603	5.138207	1.169651	11.577507	5.371314	2.443738	2.470629	5.898384	3.084191	1.829428	0.827661	1.818432	1.19021	1.712185	3.857528	2.271411	1.861915	0.801536	1.660894	2.230616	1.706352	2.27415	1.477172	4.277089	1.555562	2.132632	3.539851	2.693701	3.358211	2.971963	3.297897	3.283364	2.006234	2.106667	1.198567	3.039787	1.912396	1.745166	2.157439	1.814592	1.317435	1.357975	3.633128	1.642599	0.546957	1.424845	1.65347	3.779877	0.764976	2.141508	2.610933	1.711463	1.348365	0.547016	0.846237	0.56044	1.527668	0	0.768369	1.414948	3.576099	0.625698	2.266241	2.500476	3.296802	4.379463	0.827518	1.101156	3.041739	3.376768	0.486853	2.731745	2.048508	1.734702	3.648698	2.490151	2.423698	2.535026	4.246612	1.530146	2.056746	2.657871	2.043076	1.856774	2.655322	0.711453	2.731087	1.4664	0.324929	2.687902	1.82004	2.05506	2.01952	2.232832
hsa-let-7f-2-3p	2.189045	0.451806	1.938992	1.347872	0.438356	0.641208	0.400052	0	0.240786	2.08189	0.53037	0	0.476388	1.747851	0	0	0	0.865791	0	0.288301	1.450526	0	0.60922	1.351557	3.222705	0.362705	0	0.226377	0	1.180834	0.853246	0.790311	0	0	0	0.613304	0	0.472441	0.611143	0	2.070616	0.541173	1.141108	0.491246	0.410443	0	0	0.635495	0.317572	0.473589	0.632286	0.906547	0.646341	0	0.745568	1.332007	0.996411	2.067659	0	2.09704	0.335259	0.527284	0.248749	0	0.86494	1.973139	0.598318	0.548438	1.995511	0	0.435628	0.377046	0.93389	0.475793	0	0.905673	1.04742	1.374304	0.422301	1.325989	0.292412	2.340135	0.976603	1.221869	0.085194	2.703426	0	0.457357	1.324257	0.765656	0	0.570728	0.593466	0	1.117149	0	0	0.278827	0	0	1.107879	0	0	0.473918	0	0.2993	0	0.270178	0.43972	0	0	0.702222	0	0.337754	0	0	0	0.453648	0.658718	0.678988	0.302761	0	1.093913	0.474948	0.551156	0.472485	0.764976	0	0	0.244495	0.674182	0	1.410395	0.840661	0	0	0	0	1.021743	0	0.453248	0.208373	2.412293	0.796266	0.413759	0.367052	0	0	0	0.455291	0	0.34694	0.72974	0.415025	0.186438	0.760507	1.061652	0.270026	0	0	0	0.232097	0.708085	0	0.847578	0.325867	0.324929	0.503982	0.30334	0	0.50488	0.148855
